ISO_2,ISO_3,country,year,corporate_rate,loss_carryback,loss_carryforward,machines_cost_recovery,buildings_cost_recovery,intangibles_cost_recovery,inventory,allowance_corporate_equity,patent_box,r_and_d_credit,digital_services_tax,corporate_alt_minimum,corporate_surtax,corporate_other_rev,top_income_rate,threshold_top_income_rate,tax_wedge,personal_surtax,personal_other_rev,capital_gains_rate,index_capital_gains,dividends_rate,vat_rate,vat_threshold,vat_base,property_tax,property_tax_collections,net_wealth,estate_or_inheritance_tax,transfer_tax,asset_tax,capital_duties,financial_transaction_tax,dividends_exemption,capital_gains_exemption,country_limitations,dividends_withholding_tax,interest_withholding_tax,royalties_withholding_tax,tax_treaties,cfc_rules,thin_capitalization_rules,property_tax_str,property_taxes_deductible_str,property_tax_collections_str,net_wealth_str,estate_or_inheritance_tax_str,transfer_tax_str,asset_tax_str,capital_duties_str,financial_transaction_tax_str
CO,COL,Colombia,2015,0.39,0,100,0.7378887028,0.5479539106,0.8698652539,0.5,0,0,0.31,0,5,9,0.816,0.33,10.910447,0,0,11.641,0.1,NA,0,16,0,0.4054651292,0.5,0.4585482631,1,0,1,0,0,1,1,0,0,0.33,0.33,0.33,5,0,0.5,Tax on Real Property,Yes,0.5%,Net Wealth Tax ,None,Real Estate Registration Tax,No,No,Yes
CR,CRI,Costa Rica,2015,0.3,0,3,0.8224566907,0.6023536187,0,0.5,0,0,-0.02,0,3,0,2.604,0.22937123,2.121949,1.0544580655,0,28.292,0,NA,0.15,13,0,0.4518706701,0.5,0.1648529698,0,0,1,0,1,1,1,1,0,0.15,0.15,0.25,1,0,0,Tax on Real Property,Yes,0.2%,None,None,Real Estate Transfer Tax,No,Yes,Yes
CZ,CZE,Czech Republic,2015,0.19,0,5,0.873879108,0.5432228306,0.8413188479,0.5,0,0,0.18,0,0,0,0,0.15,3e-06,1.1338198214,0,0,0,1,0.15,21,67707.9535587165,0.5636406265,0.5,0.0929843403,0,1,1,0,0,0,1,1,1,0.15,0.15,0.15,83,0,0.5,Tax on Real Property,Yes,0.1%,No,Inheritances and gifts are subject to Income Tax,No,No,No,No
DE,DEU,Germany,2015,0.29780475,1,60,0.7378887028,0.3914060129,0.8698652539,1,0,0,-0.02,0,0,5.5,0,0.41975,5.655649,1.1044282809,5.5,0,0.26375,0,0.26375,19,21297.5222109729,0.5499810918,0.5,0.1965559874,0,1,1,0,0,0,0.95,0.95,0,0.26375,0,0.15825,94,0.25,1,Tax on Real Property,Yes,0.2%,No,Inheritance and Gift Tax,Real Estate Transfer Tax,No,No,No
DK,DNK,Denmark,2015,0.235,0,60,0.8269230769,0.479318672,0.8134064429,0,0,0,-0.01,0,0,0,2.274,0.47564,1.227747,1.2900664308,8,0,0.42,0,0.42,25,5879.0763873497,0.5615030941,0.5,0.6994552677,0,1,1,0,0,0,1,1,1,0.27,0.22,0.22,73,0.5,0.5,Tax on Real Property,Yes,0.7%,No,Inheritance and Gift Tax,Real Estate Transfer Tax,No,No,No
EE,EST,Estonia,2015,0.2,100,100,1,1,1,1,1,0,0,0,0,0,0,0.21,0.142892,1.0525705295,0,0,0.2,0,0,20,25581.7765656457,0.6659794412,1,0.1507029405,0,0,0,0,0,0,1,0,1,0,0,0.1,55,0,0,Land Tax,No,0.1%,No,None,No,No,No,No
ES,ESP,Spain,2015,0.28,0,50,0.6950018566,0.2913855302,0.2789584488,0.5,0,1,0.31,0,3,0,0,0.52,11.66034,1.1141705913,0,0,0.24,0,0.235,21,0,0.3858859683,0.5,0.5139092386,1,1,1,0,1,0,1,1,1,0.195,0.195,0.195,87,0.25,1,Tax on Real Property,Yes,0.5%,Net Wealth Tax,Inheritance and Gift Tax,Real Estate Transfer Tax,No,Yes,Yes
FI,FIN,Finland,2015,0.2,0,10,0.8269230769,0.5189655172,0.7378887028,0,0,0,0.2,0,0,0,0,0.57211391,2.530586,1.2676383506,0,0,0.33,0,0.2805,24,8589.4728364748,0.5544088536,0.5,0.2812998822,0,1,1,0,0,1,1,1,1,0.2,0,0.2,75,0.375,1,Tax on Real Property,Yes,0.4%,No,Inheritance and Gift Tax,Real Estate Transfer Tax,No,No,Yes
FR,FRA,France,2015,0.38,1,50,0.8802756038,0.5479539106,0.8698652539,0.5,0,1,0.425,0,3,10.7,1.106,0.47011,15.054145,1.2055675032,8,0,0.344,0,0.44001,20,93551.0876400815,0.4830176401,0.5,1.1515116105,1,1,1,1,1,1,0.95,0.88,1,0.3,0,0.3333,122,0.5,1,Tax on Real Property,Yes,1.1%,Wealth Tax on Selected Assets,Inheritance and Gift Tax,Real Estate Transfer Tax,Bank Tax,No,Yes
GB,GBR,United Kingdom,2015,0.2,1,100,0.7588235294,0,0.8269230769,0,0,1,0.185,0,2,0,0,0.47,4.271088,1.3875681627,0,0,0.28,0,0.3055625,20,102850.559900547,0.4337268514,0.5,1.7650312877,0,1,1,1,0,1,1,1,0,0,0.2,0.2,123,0.375,0,Tax on Real Property,Yes,1.7%,No,Inheritance and Gift Tax,Stamp Duty on Transfer of Real Property,Bank Tax,No,Yes
GR,GRC,Greece,2015,0.29,0,5,0.7378887028,0.479318672,0.7378887028,0.5,0,0,0.07,0,0,0,1.803,0.38,5.272871,1.1955969323,8,0,0.15,0,0.1,23,6677.5495945415,0.3644435361,0.5,0.6699051526,0,1,1,1,1,0,1,0,1,0.1,0.15,0.2,57,0.25,1,Tax on Real Property,Yes,1.1%,No,Inheritance and Gift Tax,Real Estate Transfer Tax,Bank Tax,Yes,No
HU,HUN,Hungary,2015,0.19,0,2.5,0.8162003834,0.2789584488,0.7378887028,0.5,0,1,0.285,0,3,0,0,0.345,0,1,0,0.22,0.16,0,0.16,27,42328.198651231,0.5211735839,0.5,0.2964637335,0,1,1,1,0,0,1,1,0,0,0,0,75,0.5,0.5,Tax on Real Property,Yes,0.3%,No,Inheritance and Gift Tax,Real Estate Transfer Tax,Bank Tax,No,No
IE,IRL,Ireland,2015,0.125,1,100,0.7870751652,0.479318672,0.646263719,0.5,0,0,0.245,0,1,0,0.009,0.44,0.756265,1.4613440356,8,0,0.33,0,0.51,23,78844.2561518391,0.4466748528,0.5,0.4944966679,0,1,1,0,0,1,0,1,1,0.2,0.2,0.2,68,0,0,Tax on Real Property,Yes,0.2%,No,Inheritance and Gift Tax,Stamp Duty on Transfer of Real Property,No,No,Yes
IL,ISR,Israel,2015,0.265,0,100,0.8698652539,0.479318672,0.7870751652,0.5,0,0,0,0,0,0,2.315,0.5,6.0228,1.7696509095,0,0,0.27,1,0.32,18,18611.874917961,0.6416523709,0.5,1.2093545287,0,0,1,0,0,0,1,1,0,0.3,0.265,0.265,53,0.25,0,Tax on Sale of Real Property (c),Yes,1.1%,No,None,Real Estate Transfer Tax (e),No,No,No
IS,ISL,Iceland,2015,0.2,0,10,0.86,0.6023536187,0.8122693501,0,0,0,0.24,0,1,0,3.214,0.4624,1.366742,1.2733085926,0,10.338,0.2,0,0.2,24,7006.4970525499,0.4308487,0,0.7441811099,0,1,0,1,0,0,1,1,0,0.18,0.1,0.2,39,0.5,0,Tax on Real Property,No,1.1%,No,Inheritance Tax,No,Bank Tax,No,No
IT,ITA,Italy,2015,0.3129275,0,80,0.760252585,0.4626575421,0.9651162791,1,1,1,-0.02,0,1,0,5.388,0.448431,9.885683,1.2046218897,3,0,0.26,0,0.26,22,35990.6737367146,0.370323178,0,0.5231202447,0.5,1,1,0,1,1,0.95,0.95,1,0.26,0.26,0.225,95,0.5,1,Tax on Real Property,No,0.6%,Wealth Tax on Selected Assets,Inheritance and Gift Tax,Real Estate Transfer Tax,No,Yes,Yes
JP,JPN,Japan,2015,0.3211,0.5,5.85,0.8590286597,0.2789584488,0.7870751652,0.5,0,0,0.1,0,1,0,0.238,0.489858,4.486476,1.1482407508,2.1,0,0.204,0,0.20315,8,88240.3441644497,0.7033611457,0.5,0.807110877,0,1,1,0,1,0,0.95,0,0,0.2042,0.2042,0.2042,62,0.5,0.5,Tax on Real Property,Yes,0.8%,No,Inheritance and Gift Tax,Real Estate Transfer Tax,Fixed assets tax,Yes,No
KR,KOR,Korea,2015,0.242,0.5,10,0.9217205323,0.5479539106,0.7378887028,1,0,1,0.145,0,8,0,0,0.43199462,4.583659,1.1534686231,0,0,0,1,0.35398,10,26238.6011968703,0.6398924119,0,0.3095009401,0,1,1,0,1,1,0,0,1,0.22,0.22,0.22,83,0.375,0.5,Tax on Real Property,No,0.4%,No,Inheritance and Gift Tax,Real Estate Transfer Tax,No,Yes,Yes
LT,LTU,Lithuania,2015,0.15,0,70,0.9052631579,0.8269230769,0.966194332,1,0,0,0.28,0,2,0,0,0.15,0.243957,1.0803737118,0,0,0.15,1,0.15,21,100897,0.4958216903,0.5,0.1882578048,0,1,0,0,0,0,1,1,1,0.15,0.1,0.1,50,0.25,0.5,Tax on Real Property,Yes,0.2%,No,Inheritance Tax,No,No,No,No
LU,LUX,Luxembourg,2015,0.2922,0,100,0.8734173506,0.479318672,0.8698652539,1,0,1,-0.01,0,2,7,0.086,0.38,2.982644,1.3488028459,7,0,0,1,0.2,17,25182.6246203907,1.0810052265,0.5,0.048865686,0,1,1,1,0,0,1,1,0,0.15,0,0,74,0,0.5,Tax on Real Property,Yes,0.0%,No,Inheritance and Gift Tax,Real Estate Transfer Tax,Tax on Corporate Net Assets,No,No
LV,LVA,Latvia,2015,0.15,0,100,0.9052631579,0.6142857143,0.8698652539,0.5,0,0,0.28,0,0,0,0,0.24,0.113023,1.0433186376,0,0,0.15,0,0.1,21,100604,0.4873585811,0.5,0.3823101204,0,0,1,0,0,0,1,1,1,0,0,0,57,0,0.5,Tax on Real Property,Yes,0.4%,No,None,Stamp Duty on Transfer of Real Property,No,No,No
MX,MEX,Mexico,2015,0.3,0,10,0.7378887028,0.5479539106,0.7378887028,1,0,0,-0.01,0,0,0,6.437,0.35,29.08548,1.2522251665,0,16.255,0.1,1,0.17142857,16,0,0.2841510785,0.5,0.093184123,0,1,1,0,0,0,0,0,1,0.1,0.4,0.4,54,0.5,0.5,Tax on Real Property,Yes,0.1%,No,Income Tax can apply,Real Estate Transfer Tax,No,No,No
NL,NLD,Netherlands,2015,0.25,1,9,0.8134631952,0.3384747328,0.8698652539,1,0,1,0.195,0,1,0,0.058,0.70962076,1.2394,1.5306519191,0,0,0.3,1,0.25,21,1537.1932964077,0.4716291561,0.5,0.3963206898,0,1,1,1,0,0,1,1,0,0.15,0,0,96,0,0,Tax on Real Property,Yes,0.5%,No,Inheritance and Gift Tax,Real Estate Transfer Tax,Bank Tax,No,No
NO,NOR,Norway,2015,0.27,0,100,0.8090909091,0.3739130435,0.7378887028,0,0,0,0.2325,0,0,0,0,0.472,1.593848,1.2838208779,0,0,0.27,0,0.27,25,5181.6174400704,0.5703247419,0.5,0.1507501657,1,0,1,0,0,0,0.97,0.97,1,0.25,0,0,88,0.375,1,Tax on Real Property,Yes,0.2%,Net Wealth Tax,None,Stamp Duty on Transfer of Real Property,No,No,No
NZ,NZL,New Zealand,2015,0.28,0,100,0.7319148936,0.3071428571,0.5479539106,0.5,0,0,-0.015,0,0,0,3.485,0.33,1.269891,1.5229359113,0,0,0,1,0.06944444,15,38134.0006652947,0.9462174675,1,1.2565268796,0,0,0,0,0,0,1,1,0,0.3,0.15,0.15,39,0.25,0.5,Land Value Tax (d),No,1.2%,No,None,No,No,No,No
